244;5;4;Finocchio;262;323
245;5;4;Funghi;369;455
246;5;4;Insalata;580;714
247;5;4;Melanzana;339;417
248;5;4;Peperone;387;476
249;5;4;pomodoro;406;500
250;5;4;Porro;262;323
251;5;4;Ravanello;508;625
252;5;4;Rucola;325;400
253;5;4;sedano;542;667
254;5;4;sedano rapa;369;455
255;5;4;Spinaci;353;435
256;5;4;verza;406;500
257;5;4;Zucca;428;526
258;5;4;Zucchina;406;500
259;5;5;acciughe /sardine fresche;124;153
260;5;5;cozza;96;118
261;5;5;gamberi freschi / surgelati;198;244
262;5;5;merluzzo;155;190
263;5;5;nasello fresco / surgelato;229;282
264;5;5;orata/branzino;134;165
265;5;5;pesce spada;94;116
266;5;5;polpo ;99;122
267;5;5;salmone affumicato;111;136
268;5;5;salmone fresco;96;118
269;5;5;sgombro fresco/  in scatola al naturale;97;119
270;5;5;sogliola/persico;196;241
271;5;5;tonno fresco;152;187
272;5;5;tonno in scatola al naturale;152;187
273;5;5;tonno sottolio sgocciolato;98;120
274;5;5;vongola;110;135
275;5;5; Caciocavallo (dimezzare porzione grassi);42;51
276;5;5; Caciotta stagionata (dimezzare porzione grassi);45;56
277;5;5;Provola (dimezzare porzione grassi);44;55
278;5;5;Scamorze (dimezzare porzione grassi);77;95
279;5;5;Asiago;44;54
280;5;5;caprino di mucca;75;92
281;5;5;Edam  (dimezzare porzione grassi);53;66
282;5;5;feta;65;80
283;5;5;fiocchi di latte;181;222
284;5;5;Fontal  (dimezzare porzione grassi);49;60
285;5;5;formaggio di capra fresco;91;112
286;5;5;formaggio primo sale;61;75
287;5;5;formaggio Quark ;239;294
288;5;5;latte parz. Scremato;508;625
289;5;5;Montasio;39;48
290;5;5;Mozzarella fiordilatte (dimezzare porzione grassi);68;83
291;5;5;parmigiano /grana;43;53
292;5;5;ricotta fresca;111;137
293;5;5;robiola;52;65
294;5;5;stracchino;54;67
295;5;5;yogurt al naturale;246;303
296;5;5;yogurt intero naturale;0;0
297;5;5;yogurt magro bianco;378;465
298;5;5;yogurt magro frutta;223;274
299;5;5;arachidi (senza sale);29;35
300;5;5;castagne;77;95
301;5;5;ceci cotti (anche in scatola);223;274
302;5;5;ceci secchi / pasta di ceci / pasta ceci e riso;45;55
303;5;5;cicerchie;55;68
304;5;5;edamame;111;136
305;5;5;fagioli cotti;156;192
306;5;5;fagioli freschi;168;206
307;5;5;fagioli secchi;49;60
308;5;5;fave fresche;217;267
309;5;5;fave secche /pasta di;48;59
310;5;5;germogli di soia;542;667
311;5;5;latte di soia;406;500
312;5;5;lenticchie secche / pasta di lenticchie / pasta di piselli;50;62
313;5;5;seitan;118;145
314;5;5;lupini;49;61
315;5;5;piselli freschi;206;253
316;5;5;piselli secchi;57;70
317;5;5;soia fresca;111;136
318;5;5;soia lessata ;163;200
319;5;5;soia secca;43;52
320;5;5;spaghetti di soia;75;93
321;5;5;tofu fresco;214;263
322;5;5;tofu secco;163;200
323;5;5;yogurt soia bianco;262;323
324;5;5;lenticchie bollite;177;217
